question,answer,category,difficulty
"Quelle est la galaxie la plus proche de la Voie Lactée après la galaxie d’Andromède ?","Galaxie du Triangle (M33)","Astronomie","difficile"
"Quel est le plus ancien alphabet connu découvert à ce jour ?","Alphabet protosinaïtique","Archéologie / Linguistique","très difficile"
"Quel est la langue portant le code ISO 639-3  ?","la langue basque","Linguistique","très difficile"
"Quel est le nom du théorème qui démontre qu’il n’existe pas de formule générale pour résoudre les équations polynomiales de degré 5 ou plus ?","Théorème d’Abel-Ruffini","Mathématiques","très difficile"
"Quel est le nom de la première femme astronaute à avoir voyagé dans l’espace ?","Valentina Terechkova","Culture générale / Sciences","difficile"
"Quelle est la définition du mot 'pérégrination' ?","Voyage, généralement long et compliqué","Vocabulaire / Langue","difficile"
"Quelle est la définition du mot 'prolégomènes' ?","Introduction ou préface à un ouvrage","Vocabulaire / Langue","très difficile"
"Quelle est la définition du mot 'cacochyme' ?","Maladif, faible, fragile","Vocabulaire / Langue","difficile"
"Quelle est la définition du mot 'histrionique' ?","Qui cherche à attirer l'attention par des manières théâtrales","Vocabulaire / Langue","difficile"
"Quelle est la définition du mot 'syzygie' ?","Alignement de trois corps célestes, généralement la Terre, la Lune et le Soleil","Vocabulaire / Sciences","très difficile"
"Quelle est la définition du mot 'antediluvien' ?","Qui date d’avant le Déluge, très ancien","Vocabulaire / Histoire","difficile"
"Quelle est la définition du mot 'pulchritude' ?","Beauté physique","Vocabulaire / Langue","très difficile"
"Quelle est la définition du mot 'zeugma' ?","Figure de style qui rattache un mot à plusieurs autres de manière inappropriée","Vocabulaire / Littérature","très difficile"
"Quelle est la définition du mot 'apodictique' ?","Qui est absolument certain, démontrable","Vocabulaire / Philosophie","très difficile"
"Quelle est la définition du mot 'coryza' ?","Inflammation des voies respiratoires supérieures, rhume","Vocabulaire / Médecine","difficile"
"Quelle est la définition du mot 'callipyge' ?","Qui a de belles fesses","Vocabulaire / Langue","difficile"
"Quelle est la définition du mot 'phylactère' ?","Bulle de texte dans une bande dessinée ou amulette religieuse","Vocabulaire / Langue / Culture","très difficile"
"Quelle est la définition du mot 'prolégomènes' ?","Introduction ou préface à un ouvrage","Vocabulaire / Langue","très difficile"
"Quelle est la définition du mot 'cacochyme' ?","Maladif, faible, fragile","Vocabulaire / Langue","très difficile"
"Quelle est la définition du mot 'histrionique' ?","Qui cherche à attirer l'attention par des manières théâtrales","Vocabulaire / Langue","très difficile"
"Quelle est la définition du mot 'syzygie' ?","Alignement de trois corps célestes, généralement la Terre, la Lune et le Soleil","Vocabulaire / Sciences","très difficile"
"Quelle est la définition du mot 'antediluvien' ?","Qui date d’avant le Déluge, très ancien","Vocabulaire / Histoire","très difficile"
"Quelle est la définition du mot 'pulchritude' ?","Beauté physique","Vocabulaire / Langue","très difficile"
"Quelle est la définition du mot 'zeugma' ?","Figure de style qui rattache un mot à plusieurs autres de manière inappropriée","Vocabulaire / Littérature","très difficile"
"Quelle est la définition du mot 'apodictique' ?","Qui est absolument certain, démontrable","Vocabulaire / Philosophie","très difficile"
"Quelle est la définition du mot 'coryza' ?","Inflammation des voies respiratoires supérieures, rhume","Vocabulaire / Médecine","très difficile"
"Quelle est la définition du mot 'vitupérer' ?","Blâmer ou critiquer avec force","Vocabulaire / Langue","très difficile"
"Quelle est la définition du mot 'exsangue' ?","Sans force, très pâle, vidé de son sang","Vocabulaire / Langue","très difficile"
"Quelle est la définition du mot 'obombrer' ?","Projeter une ombre, assombrir","Vocabulaire / Langue","très difficile"
"Quelle est la définition du mot 'pléthore' ?","Abondance excessive, surabondance","Vocabulaire / Langue","difficile"
"Quelle est la définition du mot 'prolixe' ?","Qui parle ou écrit trop longuement","Vocabulaire / Langue","difficile"
"Quelle est la définition du mot 'ineffable' ?","Qu’on ne peut exprimer par des mots","Vocabulaire / Langue","très difficile"
"Quelle est la définition du mot 'imbroglio' ?","Situation confuse et compliquée","Vocabulaire / Langue","difficile"
"Quelle est la définition du mot 'indigence' ?","Extrême pauvreté","Vocabulaire / Langue","difficile"
"Quelle est la définition du mot 'cabalistique' ?","Mystérieux, réservé aux initiés","Vocabulaire / Langue","très difficile"
"Quelle est la définition du mot 'vitupérer' ?","Blâmer ou critiquer avec force","Vocabulaire / Langue","très difficile"
"Quelle est la définition du mot 'misanthrope' ?","Qui éprouve de l’aversion pour les hommes","Vocabulaire / Langue","difficile"
"Quelle est la définition du mot 'abstrusité' ?","Caractère difficile à comprendre, complexité","Vocabulaire / Langue","très difficile"
"Quelle est la définition du mot 'concupiscence' ?","Désir intense de plaisirs sensuels","Vocabulaire / Langue","très difficile"
"Quelle est la définition du mot 'contumace' ?","État d’une personne jugée en son absence","Vocabulaire / Droit","très difficile"
"Quelle est la définition du mot 'délectation' ?","Grand plaisir, satisfaction intense","Vocabulaire / Langue","difficile"
"Quelle est la définition du mot 'dénégation' ?","Refus de reconnaître ou admettre","Vocabulaire / Langue","difficile"
"Quelle est la définition du mot 'diaphane' ?","Qui laisse passer la lumière, translucide","Vocabulaire / Langue","très difficile"
"Quelle est la définition du mot 'didascalique' ?","Qui sert à instruire, à enseigner","Vocabulaire / Littérature / Langue","très difficile"
"Quelle est la définition du mot 'efflorescence' ?","Épanouissement, apparition de cristaux","Vocabulaire / Sciences / Langue","très difficile"
"Quelle est la définition du mot 'élucubration' ?","Production laborieuse, souvent confuse ou bizarre","Vocabulaire / Langue","très difficile"
"Quelle est la définition du mot 'esbroufe' ?","Manière de se donner de l’importance, fanfaronnade","Vocabulaire / Langue","très difficile"
"Quelle est la définition du mot 'exsuffler' ?","Souffler fortement hors de soi","Vocabulaire / Langue","très difficile"
"Quelle est la définition du mot 'flegmatique' ?","Calme, impassible, peu émotif","Vocabulaire / Langue","difficile"
"Quelle est la définition du mot 'génuflexion' ?","Action de plier le genou en signe de respect","Vocabulaire / Langue / Culture","très difficile"
"Quelle est la définition du mot 'hémistiche' ?","Moitié d’un vers dans la poésie classique","Vocabulaire / Littérature / Poésie","très difficile"
"Quelle est la définition du mot 'iconoclaste' ?","Qui détruit les images religieuses ou qui attaque les traditions","Vocabulaire / Langue / Histoire","très difficile"
"Quelle est la définition du mot 'ignominie' ?","Honte publique, humiliation grave","Vocabulaire / Langue","très difficile"
"Quelle est la définition du mot 'imprécation' ?","Malédiction, souhait de malheur","Vocabulaire / Langue","très difficile"
"Quelle est la définition du mot 'incongru' ?","Qui est déplacé, bizarre, étrange","Vocabulaire / Langue","difficile"
"Quelle est la définition du mot 'insidieux' ?","Qui agit de façon sournoise et dangereuse","Vocabulaire / Langue","difficile"
"Quelle est la définition du mot 'irréfragable' ?","Qu’on ne peut contredire","Vocabulaire / Langue","très difficile"
"Quelle est la définition du mot 'itératif' ?","Qui se répète, successif","Vocabulaire / Langue","difficile"
"Quelle est la définition du mot 'lambiner' ?","Agir lentement, traîner","Vocabulaire / Langue","difficile"
"Quelle est la définition du mot 'lénifiant' ?","Qui calme ou apaise, parfois de façon hypocrite","Vocabulaire / Langue","difficile"
"Quelle est la définition du mot 'Infatué' ?","Cet adjectif qualifie une personne qui a une trop bonne opinion de soi-même. Elle est excessivement satisfait d’elle-même, souvent de manière injustifiée.","Vocabulaire / Adjectifs","difficile"
"Quelle est la définition du mot 'Amphigourique' ?","Cet adjectif désigne un propos ou un texte qui est confus, embrouillé, et souvent inutilement compliqué.","Vocabulaire / Adjectifs","difficile"
"Quelle est la définition du mot 'Croquignolesque' ?","Cet adjectif qualifie quelque chose de burlesque, comique ou ridicule, souvent de manière exagérée et fantasque.","Vocabulaire / Adjectifs","difficile"
"Quelle est la définition du verbe 'Pandiculer' ?","Ce verbe signifie s’étirer après s’être réveillé pour se dégourdir les muscles, d’étendre ses bras vers le haut et allonger ses jambes en baillant.","Vocabulaire / Verbes","difficile"
"Quelle est la définition du verbe 'Lantiponner' ?","Ce verbe veut dire tenir des discours frivoles et inutiles, tourner autour du pot ou encore perdre du temps en futilités ou en discussion inutiles.","Vocabulaire / Verbes","difficile"
"Quelle est la définition du verbe pronominal 'S’ébaudir' ?","Ce verbe pronominal signifie se divertir, se réjouir bruyamment, s’amuser avec enthousiasme.","Vocabulaire / Verbes","difficile"
"Quelle est la définition du nom 'Pétrichor' ?","Ce nom masculin désigne l’odeur particulière que dégage la terre après la pluie, un mélange de fraîcheur et de terre mouillée.","Vocabulaire / Noms","difficile"
"Quelle est la définition du nom 'Lichouserie' ?","Ce terme féminin familier désigne une gourmandise, une friandise ou un mets délicat, souvent sucré.","Vocabulaire / Noms","difficile"
"Quelle est la définition du nom 'Embrouillamini' ?","Ce mot masculin désigne une situation extrêmement confuse, un enchevêtrement de problèmes ou d’idées qui sont difficiles à démêler.","Vocabulaire / Noms","difficile"
"Quelle est la définition du nom 'Garrulité' ?","Ce nom féminin signifie une tendance excessive à parler, souvent de manière futile.","Vocabulaire / Noms","difficile"
"Quelle est la couleur du manteau de la statue de David de Michel-Ange ?","Il n'a pas de manteau, il est nu","Art / Culture","très difficile"
"Où se situe la plus vieille église norvégienne, la Stavkirke de Vang ?","À Karpacz,  en Pologne","Histoire / Architecture","très difficile"
"Qui fut évêque de Wurtzbourg de 842 jusqu’à sa mort en 855 ?","Gozbald","Histoire / Religion","très difficile"
"Quelle est la devise monétaire du Bhoutan ?","Ngultrum","Économie / Géographie","difficile"
"Quelle est la devise monétaire de l’Ouzbékistan ?","Som","Économie / Géographie","difficile"
"Quelle est la devise monétaire du Malawi ?","Kwacha malawien","Économie / Géographie","difficile"
"Quelle est la devise monétaire du Suriname ?","Dollar surinamais","Économie / Géographie","difficile"
"Quelle est la devise monétaire de la Moldavie ?","Leu moldave","Économie / Géographie","difficile"
"Quelle est la devise monétaire de la Papouasie-Nouvelle-Guinée ?","Kina","Économie / Géographie","difficile"
"Quelle est la devise monétaire du Kirghizistan ?","Som kirghize","Économie / Géographie","difficile"
"Quelle est la devise monétaire du Laos ?","Kip laotien","Économie / Géographie","difficile"
"Quelle est la devise monétaire du Lesotho ?","Loti","Économie / Géographie","difficile"
"Quelle est la devise monétaire de la Namibie ?","Dollar namibien","Économie / Géographie","difficile"
"Quelle est la devise monétaire du Tonga ?","Paʻanga","Économie / Géographie","difficile"
"Quelle est la devise monétaire du Guatemala ?","Quetzal","Économie / Géographie","difficile"
"Quelle est la devise monétaire du Belize ?","Dollar bélizien","Économie / Géographie","difficile"
"Quelle est la devise monétaire du Cap-Vert ?","Escudo cap-verdien","Économie / Géographie","difficile"
"Quelle est la devise monétaire du Paraguay ?","Guaraní","Économie / Géographie","difficile"
"Quelle est la devise monétaire de l’Érythrée ?","Nakfa","Économie / Géographie","difficile"
"Quelle est la devise monétaire de la Mauritanie ?","Ouguiya","Économie / Géographie","difficile"
"Quelle est la devise monétaire du Myanmar (Birmanie) ?","Kyat","Économie / Géographie","difficile"
"Quelle est la devise monétaire du Burundi ?","Franc burundais","Économie / Géographie","difficile"
"Quelle est la devise monétaire de l’Éthiopie ?","Birr","Économie / Géographie","difficile"
"Quelle est la devise monétaire du Honduras ?","Lempira","Économie / Géographie","difficile"
"Quelle est la devise monétaire du Nicaragua ?","Córdoba","Économie / Géographie","difficile"
"Quelle est la devise monétaire de l’Arménie ?","Dram","Économie / Géographie","difficile"
"Quelle est la devise monétaire de la Géorgie ?","Lari","Économie / Géographie","difficile"
"Quelle est la devise monétaire du Tadjikistan ?","Somoni","Économie / Géographie","difficile"
"Quelle est la devise monétaire du Turkménistan ?","Manat turkmène","Économie / Géographie","difficile"
"Quelle est la devise monétaire du Vanuatu ?","Vatu","Économie / Géographie","difficile"
"Quelle est la devise monétaire des Seychelles ?","Roupie seychelloise","Économie / Géographie","difficile"
"Quelle est la devise monétaire des Maldives ?","Rufiyaa","Économie / Géographie","difficile"
"Quelle est la devise monétaire du Samoa ?","Tala","Économie / Géographie","difficile"
"Quelle est la devise monétaire de Fidji ?","Dollar fidjien","Économie / Géographie","difficile"
"Quelle est la devise monétaire de Trinité-et-Tobago ?","Dollar de Trinité-et-Tobago","Économie / Géographie","difficile"
"Quelle est la devise monétaire du Guyana ?","Dollar guyanien","Économie / Géographie","difficile"
"Quelle est la devise monétaire du Liberia ?","Dollar libérien","Économie / Géographie","difficile"
"Quelle est la devise monétaire de la Gambie ?","Dalasi","Économie / Géographie","difficile"
"Quel est le nom donné à la fête célébrant un mariage au bout de 4 ans ?","Noces de cire","Culture / Traditions","difficile"
"Quel est le nom donné à la fête célébrant un mariage au bout de 7 ans ?","Noces de laine","Culture / Traditions","difficile"
"Quel est le nom donné à la fête célébrant un mariage au bout de 9 ans ?","Noces de faïence","Culture / Traditions","difficile"
"Quel est le nom donné à la fête célébrant un mariage au bout de 13 ans ?","Noces de muguet","Culture / Traditions","difficile"
"Quel est le nom donné à la fête célébrant un mariage au bout de 17 ans ?","Noces de rose","Culture / Traditions","difficile"
"Quel est le nom donné à la fête célébrant un mariage au bout de 23 ans ?","Noces de béryl","Culture / Traditions","difficile"
"Quel est le nom donné à la fête célébrant un mariage au bout de 29 ans ?","Noces de velours","Culture / Traditions","difficile"
"Quel est le nom donné à la fête célébrant un mariage au bout de 31 ans ?","Noces de basane","Culture / Traditions","difficile"
"Quel est le nom donné à la fête célébrant un mariage au bout de 37 ans ?","Noces de papier","Culture / Traditions","difficile"
"Quel est le nom donné à la fête célébrant un mariage au bout de 42 ans ?","Noces de nacre","Culture / Traditions","difficile"
"Quel est le nom donné à la fête célébrant un mariage au bout de 47 ans ?","Noces de cachemire","Culture / Traditions","difficile"
"Quel est le nom donné à la fête célébrant un mariage au bout de 52 ans ?","Noces de tourmaline","Culture / Traditions","difficile"
"Quel est le nom donné à la fête célébrant un mariage au bout de 57 ans ?","Noces d’azalée","Culture / Traditions","difficile"
"Quel est le nom donné à la fête célébrant un mariage au bout de 67 ans ?","Noces de cinabre","Culture / Traditions","difficile"
"Quel est le nom donné à la fête célébrant un mariage au bout de 77 ans ?","Noces de silice","Culture / Traditions","très difficile"
"Quel est le nom donné à la fête célébrant un mariage au bout de 82 ans ?","Noces de grenat","Culture / Traditions","très difficile"
"Quel est le nom donné à la fête célébrant un mariage au bout de 90 ans ?","Noces de granite","Culture / Traditions","très difficile"
"Quel est le nom d’une bouteille de champagne contenant 3 litres ?","Jéroboam","Culture / Gastronomie","difficile"
"Quel est le nom d’une bouteille de champagne contenant 4,5 litres ?","Réhoboam","Culture / Gastronomie","difficile"
"Quel est le nom d’une bouteille de champagne contenant 6 litres ?","Mathusalem","Culture / Gastronomie","difficile"
"Quel est le nom d’une bouteille de champagne contenant 9 litres ?","Salmanazar","Culture / Gastronomie","difficile"
"Quel est le nom d’une bouteille de champagne contenant 12 litres ?","Balthazar","Culture / Gastronomie","difficile"
"Quel est le nom d’une bouteille de champagne contenant 15 litres ?","Nabuchodonosor","Culture / Gastronomie","difficile"
"Quel est le nom d’une bouteille de champagne contenant 18 litres ?","Melchior","Culture / Gastronomie","très difficile"
"Quel est le nom d’une bouteille de champagne contenant 26,25 litres ?","Souverain","Culture / Gastronomie","très difficile"
"Quel est le nom d’une bouteille de champagne contenant 27 litres ?","Primat","Culture / Gastronomie","très difficile"
"Quel est le nom d’une bouteille de champagne contenant 30 litres ?","Melchisedech","Culture / Gastronomie","très difficile"
"Quel est le nom de l’ancienne unité française correspondant à environ 12,7 litres ?","Boisseau","Histoire / Mesures anciennes","très difficile"
"Quel est le nom de l’ancienne unité française correspondant à environ 156 litres (variable selon régions) ?","Setier","Histoire / Mesures anciennes","très difficile"
"Quel est le nom de l’ancienne unité française correspondant à environ 0,93 litre ?","Pinte","Histoire / Mesures anciennes","difficile"
"Quel est le nom de l’unité britannique équivalente à environ 0,142 litre ?","Gill","Culture / Mesures","très difficile"
"Quel est le nom du tonneau d’environ 238 litres utilisé pour le vin ou le whisky ?","Hogshead","Culture / Gastronomie","très difficile"
"Quel est le nom du tonneau d’environ 40,9 litres utilisé pour la bière ?","Firkin","Culture / Gastronomie","très difficile"
"Quel est le nom du tonneau d’environ 318 litres utilisé pour le rhum ?","Puncheon","Culture / Gastronomie","très difficile"
"Quel est le nom du tonneau d’environ 477 litres utilisé pour le porto ?","Butt","Culture / Gastronomie","très difficile"
"Quel est le nom du grand tonneau d’environ 954 litres utilisé en vinification ?","Tun","Culture / Gastronomie","très difficile"
"Qui est l’architecte du Panthéon de Paris (18e siècle) ?","Jacques-Germain Soufflot","Architecture / Monuments","difficile"
"Qui est l’architecte de l’opéra de Sydney ?","Jørn Utzon","Architecture / Monuments","difficile"
"Qui est l’architecte de la pyramide du Louvre à Paris ?","Ieoh Ming Pei (I. M. Pei)","Architecture / Monuments","difficile"
"Qui est l’architecte de la villa Savoye à Poissy ?","Le Corbusier","Architecture / Monuments","difficile"
"Qui est l’architecte de la cathédrale Saint-Basile à Moscou ?","Postnik Yakovlev","Architecture / Monuments","très difficile"
"Qui est l’architecte du Colisée de Rome ?","Vespasien et Titus (sous l’Empire romain, architectes inconnus)","Architecture / Monuments","très difficile"
"Qui est l’architecte de la chapelle Sixtine (structure) ?","Baccio Pontelli","Architecture / Monuments","très difficile"
"Qui est l’architecte de la basilique Saint-Pierre de Rome (plan initial) ?","Donato Bramante","Architecture / Monuments","très difficile"
"Qui est l’architecte du Taj Mahal à Agra ?","Ustad Ahmad Lahauri","Architecture / Monuments","difficile"
"Qui est l’architecte du Chrysler Building à New York ?","William Van Alen","Architecture / Monuments","difficile"
"Qui est l’architecte du Capitole des États-Unis à Washington ?","William Thornton","Architecture / Monuments","difficile"
"Qui est l’architecte de l’Alhambra de Grenade ?","Yusuf Ier & Mohammed V (époque nasride, architectes inconnus)","Architecture / Monuments","très difficile"
"Qui est l’architecte de Fallingwater (la maison sur la cascade) ?","Frank Lloyd Wright","Architecture / Monuments","difficile"
"Qui est l’architecte de la Bibliothèque nationale de France (site François-Mitterrand) ?","Dominique Perrault","Architecture / Monuments","difficile"
"Qui est l’architecte du Palais de la Musique Catalane à Barcelone ?","Lluís Domènech i Montaner","Architecture / Monuments","très difficile"
"Qui est l’architecte du Castel Béranger à Paris (bâtiment Art nouveau) ?","Hector Guimard","Architecture / Monuments","très difficile"
"Qui est l’architecte de la Villa Majorelle à Nancy ?","Henri Sauvage","Architecture / Monuments","très difficile"
"Qui est l’architecte de la Villa Cavrois à Croix (près de Lille) ?","Robert Mallet-Stevens","Architecture / Monuments","très difficile"
"Qui est l’architecte du Pavillon de Barcelone (1929) ?","Ludwig Mies van der Rohe","Architecture / Monuments","très difficile"
"Qui est l’architecte du Palais Stoclet à Bruxelles ?","Josef Hoffmann","Architecture / Monuments","très difficile"
"Qui est l’architecte de la Casa Milà (La Pedrera) à Barcelone ?","Antoni Gaudí","Architecture / Monuments","difficile"
"Qui est l’architecte de la Villa Emo en Vénétie ?","Andrea Palladio","Architecture / Monuments","très difficile"
"Qui est l’architecte du Cimetière de Brion (Italie) ?","Carlo Scarpa","Architecture / Monuments","très difficile"
"Qui est l’architecte de la Tour Velasca à Milan ?","BBPR (studio d’architectes italiens)","Architecture / Monuments","très difficile"
"Qui est l’architecte du Plan Voisin (non réalisé) pour Paris ?","Le Corbusier","Architecture / Monuments","très difficile"
"Qui est l’architecte du Théâtre national de Bretagne à Rennes ?","Patrick Bouchain","Architecture / Monuments","très difficile"
"Qui est l’architecte de l’Unité d’habitation de Firminy ?","Le Corbusier","Architecture / Monuments","très difficile"
"Qui est l’architecte du Musée Guggenheim de Bilbao ?","Frank Gehry","Architecture / Monuments","difficile"
"Qui est l’architecte du Centre Pompidou-Metz ?","Shigeru Ban et Jean de Gastines","Architecture / Monuments","très difficile"
"Qui est l’architecte du Couvent de la Tourette à Éveux ?","Le Corbusier","Architecture / Monuments","très difficile"
"Qui est l’architecte de la chapelle Notre-Dame du Haut à Ronchamp ?","Le Corbusier","Architecture / Monuments","difficile"
"Qui est l’architecte du Palais Güell à Barcelone ?","Antoni Gaudí","Architecture / Monuments","difficile"
"Qui est l’architecte du cimetière monumental de Milan ?","Carlo Maciachini","Architecture / Monuments","très difficile"
"Quel est le nom de l’oiseau considéré comme le plus petit du monde ?","Colibri d’Elena (ou colibri abeille)","Sciences naturelles","très difficile"
"Quel est le nom du roman inachevé de Kafka publié après sa mort ?","Le Château","Littérature","difficile"
"Quel est le nom de la ville où fut signée la paix de Westphalie en 1648 ?","Münster et Osnabrück","Histoire","très difficile"
"Quel est le nom de l’ancêtre du violon, très utilisé au Moyen Âge ?","La vièle","Musique ancienne","très difficile"
"Quel est le nom de la première encyclopédie chinoise monumentale compilée au XVe siècle ?","Yongle Dadian","Culture / Histoire","très difficile"
"Quel est le nom du mathématicien ayant introduit le symbole ∞ pour l’infini ?","John Wallis","Mathématiques / Histoire","très difficile"
"Quel est le nom du poète latin auteur des 'Métamorphoses' ?","Ovide","Littérature","difficile"
"Quel est le nom de la plus ancienne université encore en activité ?","Université de Bologne","Culture / Éducation","difficile"
"Quel est le nom de l’éruption volcanique qui détruisit la ville de Saint-Pierre en Martinique en 1902 ?","Éruption de la montagne Pelée","Histoire / Sciences","très difficile"
"Quel est le nom de l’instrument de musique médiéval ressemblant à une cornemuse mais sans bourdon ?","Chalemie","Musique ancienne","très difficile"
"Quel est le nom de la déesse sumérienne de l’amour et de la guerre ?","Inanna","Mythologie","très difficile"
"Quel est le nom du premier roman gothique de la littérature anglaise publié en 1764 ?","Le Château d’Otrante (Horace Walpole)","Littérature","très difficile"
"Quel est le nom du scientifique ayant découvert l’anesthésie à l’éther en 1846 ?","William T. G. Morton","Médecine / Histoire","très difficile"
"Quel est le nom de la peinture japonaise représentant une grande vague et attribuée à Hokusai ?","La Grande Vague de Kanagawa","Art","difficile"
"Quel est le nom du premier satellite artificiel envoyé dans l’espace en 1957 ?","Spoutnik 1","Sciences / Espace","difficile"
"Quel est le nom du code juridique de Babylone gravé sur une stèle au XVIIIe siècle av. J.-C. ?","Code d’Hammurabi","Histoire","difficile"
"Quel est le nom du mathématicien qui a formulé l’hypothèse des nombres premiers jumeaux ?","Alphonse de Polignac","Mathématiques / Histoire","très difficile"
"Quel est le nom du premier grand opéra de Richard Wagner ?","Le Vaisseau fantôme","Musique classique","très difficile"
"Quel est le nom de l’écrivain islandais auteur de l’Edda poétique ?","Snorri Sturluson","Littérature / Mythologie","très difficile"
"Quel est le nom de la première constitution écrite au monde adoptée en 1600 ?","Constitution de Saint-Marin","Histoire / Politique","très difficile"
"Quel est le nom de l’arbre dont la résine produit la myrrhe ?","Commiphora myrrha","Sciences naturelles / Botanique","très difficile"
"Quel est le nom de la première créature que Persée tua dans la mythologie grecque ?","Méduse","Mythologie","difficile"
"Quel est le nom de l’instrument médiéval à cordes pincées ancêtre du luth ?","Oud","Musique ancienne","très difficile"
"Quel est le nom de l’inventeur du premier microscope composé au XVIIe siècle ?","Zacharias Janssen","Sciences / Inventions","très difficile"
"Quel est le nom du serpent géant qui entoure le monde dans la mythologie nordique ?","Jörmungandr","Mythologie","difficile"
"Quel est le nom de l’ancêtre du piano, utilisé à la Renaissance et au Baroque ?","Clavicorde","Musique ancienne","très difficile"
"Quel est le nom de l’inventeur du premier thermomètre à alcool (1608) ?","Galileo Galilei","Sciences / Inventions","très difficile"
"Quel est le nom du mollusque marin dont le coquillage servait à produire la pourpre antique ?","Murex","Histoire / Antiquité","très difficile"
"Quel est le nom de la muse grecque de l’astronomie ?","Uranie","Mythologie","difficile"
"Quel est le nom de l’instrument à vent médiéval, ancêtre de la flûte traversière ?","Fifre","Musique ancienne","très difficile"
"Quel est le nom du dieu aztèque de la pluie et de la foudre ?","Tlaloc","Mythologie mésoaméricaine","très difficile"
"Quel est le nom de la langue disparue parlée dans la Crète antique avant le grec ?","Linéaire A","Langues anciennes","très difficile"
"Quel est le nom de la plus grande cloche du monde située à Moscou ?","La Tsar Kolokol","Culture / Histoire","très difficile"
"Quel est le nom du dieu nordique associé aux poètes et à l’hydromel sacré ?","Bragi","Mythologie nordique","très difficile"
"Quel est le nom de l’empereur inca lors de la conquête espagnole menée par Pizarro ?","Atahualpa","Histoire / Civilisations","difficile"
"Quel est le nom de la plus petite planète naine connue du système solaire ?","Hauméa","Astronomie","très difficile"
"Quel est le nom de l’écriture sacrée des druides celtiques ?","Ogham","Langues anciennes / Culture","très difficile"
"Quel est le nom du philosophe présocratique qui affirmait que 'tout est feu' ?","Héraclite","Philosophie ancienne","très difficile"
"Quel est le nom du manuscrit médiéval enluminé considéré comme un chef-d’œuvre de l’art irlandais ?","Le Livre de Kells","Art / Histoire","très difficile"
"Quel est le nom du roi babylonien célèbre pour ses jardins suspendus ?","Nabuchodonosor II","Histoire / Antiquité","difficile"
"Quel est le nom de la plus ancienne carte du ciel connue, retrouvée en Chine ?","Carte céleste de Dunhuang","Astronomie / Histoire","très difficile"
"Quel est le nom de la ville antique où se trouve le temple de Vénus Érycine en Sicile ?","Ségeste","Histoire / Antiquité","très difficile"
